Table Names,provincia,poblacion,total,nuevas,mes,anio
muertes_covid_provincias_mensual_2021.csv,Guayas,4387434,2145,75,3,2021
muertes_covid_provincias_mensual_2021.csv,Imbabura,476257,285,27,3,2021
muertes_covid_provincias_mensual_2021.csv,Loja,521154,364,73,3,2021
muertes_covid_provincias_mensual_2021.csv,Los Ríos,921763,409,29,3,2021
muertes_covid_provincias_mensual_2021.csv,Manabí,1562079,1794,221,3,2021
muertes_covid_provincias_mensual_2021.csv,Morona Santiago,196535,48,7,3,2021
muertes_covid_provincias_mensual_2021.csv,Napo,133705,90,6,3,2021
muertes_covid_provincias_mensual_2021.csv,Orellana,161338,62,3,3,2021
muertes_covid_provincias_mensual_2021.csv,Pastaza,114202,73,6,3,2021
muertes_covid_provincias_mensual_2021.csv,Pichincha,3228233,2494,198,3,2021
muertes_covid_provincias_mensual_2021.csv,Santa Elena,401178,410,0,3,2021
muertes_covid_provincias_mensual_2021.csv,Sto. Domingo Tsáchilas,511151,524,63,3,2021
muertes_covid_provincias_mensual_2021.csv,Sucumbíos,230503,126,17,3,2021
muertes_covid_provincias_mensual_2021.csv,Tungurahua,590600,437,5,3,2021
muertes_covid_provincias_mensual_2021.csv,Zamora Chinchipe,120416,70,10,3,2021
muertes_covid_provincias_mensual_2021.csv,Azuay,881394,405,67,4,2021
muertes_covid_provincias_mensual_2021.csv,Bolívar,209933,99,14,4,2021
muertes_covid_provincias_mensual_2021.csv,Carchi,186869,233,23,4,2021
muertes_covid_provincias_mensual_2021.csv,Cañar,281396,125,8,4,2021
muertes_covid_provincias_mensual_2021.csv,Chimborazo,524004,420,11,4,2021
muertes_covid_provincias_mensual_2021.csv,Cotopaxi,488716,419,22,4,2021
muertes_covid_provincias_mensual_2021.csv,El Oro,715751,900,121,4,2021
muertes_covid_provincias_mensual_2021.csv,Esmeraldas,591083,354,52,4,2021
muertes_covid_provincias_mensual_2021.csv,Galápagos,33042,9,0,4,2021
muertes_covid_provincias_mensual_2021.csv,Guayas,4387434,2389,244,4,2021
muertes_covid_provincias_mensual_2021.csv,Imbabura,476257,337,52,4,2021
muertes_covid_provincias_mensual_2021.csv,Loja,521154,476,112,4,2021
muertes_covid_provincias_mensual_2021.csv,Los Ríos,921763,438,29,4,2021
muertes_covid_provincias_mensual_2021.csv,Manabí,1562079,2100,306,4,2021
muertes_covid_provincias_mensual_2021.csv,Morona Santiago,196535,54,6,4,2021
muertes_covid_provincias_mensual_2021.csv,Napo,133705,96,6,4,2021
muertes_covid_provincias_mensual_2021.csv,Orellana,161338,66,4,4,2021
muertes_covid_provincias_mensual_2021.csv,Pastaza,114202,74,1,4,2021
muertes_covid_provincias_mensual_2021.csv,Pichincha,3228233,2780,286,4,2021
muertes_covid_provincias_mensual_2021.csv,Santa Elena,401178,411,1,4,2021
muertes_covid_provincias_mensual_2021.csv,Sto. Domingo Tsáchilas,511151,614,90,4,2021
muertes_covid_provincias_mensual_2021.csv,Sucumbíos,230503,150,24,4,2021
muertes_covid_provincias_mensual_2021.csv,Tungurahua,590600,443,6,4,2021
muertes_covid_provincias_mensual_2021.csv,Zamora Chinchipe,120416,88,18,4,2021
muertes_covid_provincias_mensual_2021.csv,Azuay,881394,487,82,5,2021
muertes_covid_provincias_mensual_2021.csv,Bolívar,209933,106,7,5,2021
muertes_covid_provincias_mensual_2021.csv,Carchi,186869,266,33,5,2021
muertes_covid_provincias_mensual_2021.csv,Cañar,281396,133,8,5,2021
muertes_covid_provincias_mensual_2021.csv,Chimborazo,524004,518,98,5,2021
muertes_covid_provincias_mensual_2021.csv,Cotopaxi,488716,506,87,5,2021
muertes_covid_provincias_mensual_2021.csv,El Oro,715751,1041,141,5,2021
muertes_covid_provincias_mensual_2021.csv,Esmeraldas,591083,379,25,5,2021
muertes_covid_provincias_mensual_2021.csv,Galápagos,33042,10,1,5,2021
muertes_covid_provincias_mensual_2021.csv,Guayas,4387434,2642,253,5,2021
muertes_covid_provincias_mensual_2021.csv,Imbabura,476257,394,57,5,2021
muertes_covid_provincias_mensual_2021.csv,Loja,521154,540,64,5,2021
muertes_covid_provincias_mensual_2021.csv,Los Ríos,921763,471,33,5,2021
muertes_covid_provincias_mensual_2021.csv,Manabí,1562079,2427,327,5,2021
muertes_covid_provincias_mensual_2021.csv,Morona Santiago,196535,57,3,5,2021
muertes_covid_provincias_mensual_2021.csv,Napo,133705,104,8,5,2021
muertes_covid_provincias_mensual_2021.csv,Orellana,161338,83,17,5,2021
muertes_covid_provincias_mensual_2021.csv,Pastaza,114202,84,10,5,2021
muertes_covid_provincias_mensual_2021.csv,Pichincha,3228233,3028,248,5,2021
muertes_covid_provincias_mensual_2021.csv,Santa Elena,401178,417,6,5,2021
muertes_covid_provincias_mensual_2021.csv,Sto. Domingo Tsáchilas,511151,664,50,5,2021
muertes_covid_provincias_mensual_2021.csv,Sucumbíos,230503,171,21,5,2021
muertes_covid_provincias_mensual_2021.csv,Tungurahua,590600,469,26,5,2021
muertes_covid_provincias_mensual_2021.csv,Zamora Chinchipe,120416,94,6,5,2021
muertes_covid_provincias_mensual_2021.csv,Azuay,881394,514,27,6,2021
muertes_covid_provincias_mensual_2021.csv,Bolívar,209933,111,5,6,2021
muertes_covid_provincias_mensual_2021.csv,Carchi,186869,284,18,6,2021
muertes_covid_provincias_mensual_2021.csv,Cañar,281396,137,4,6,2021
muertes_covid_provincias_mensual_2021.csv,Chimborazo,524004,525,7,6,2021
muertes_covid_provincias_mensual_2021.csv,Cotopaxi,488716,580,74,6,2021
muertes_covid_provincias_mensual_2021.csv,El Oro,715751,1091,50,6,2021
muertes_covid_provincias_mensual_2021.csv,Esmeraldas,591083,389,10,6,2021
muertes_covid_provincias_mensual_2021.csv,Galápagos,33042,10,0,6,2021
muertes_covid_provincias_mensual_2021.csv,Guayas,4387434,2723,81,6,2021
muertes_covid_provincias_mensual_2021.csv,Imbabura,476257,419,25,6,2021
muertes_covid_provincias_mensual_2021.csv,Loja,521154,564,24,6,2021
muertes_covid_provincias_mensual_2021.csv,Los Ríos,921763,493,22,6,2021
muertes_covid_provincias_mensual_2021.csv,Manabí,1562079,2529,102,6,2021
muertes_covid_provincias_mensual_2021.csv,Morona Santiago,196535,59,2,6,2021
muertes_covid_provincias_mensual_2021.csv,Napo,133705,108,4,6,2021
muertes_covid_provincias_mensual_2021.csv,Orellana,161338,96,13,6,2021
muertes_covid_provincias_mensual_2021.csv,Pastaza,114202,87,3,6,2021
muertes_covid_provincias_mensual_2021.csv,Pichincha,3228233,3168,140,6,2021
muertes_covid_provincias_mensual_2021.csv,Santa Elena,401178,428,11,6,2021
muertes_covid_provincias_mensual_2021.csv,Sto. Domingo Tsáchilas,511151,695,31,6,2021
muertes_covid_provincias_mensual_2021.csv,Sucumbíos,230503,173,2,6,2021
muertes_covid_provincias_mensual_2021.csv,Tungurahua,590600,617,148,6,2021
muertes_covid_provincias_mensual_2021.csv,Zamora Chinchipe,120416,100,6,6,2021
muertes_covid_provincias_mensual_2021.csv,Azuay,881394,1096,582,7,2021
muertes_covid_provincias_mensual_2021.csv,Bolívar,209933,152,41,7,2021
muertes_covid_provincias_mensual_2021.csv,Carchi,186869,293,9,7,2021
muertes_covid_provincias_mensual_2021.csv,Cañar,281396,256,119,7,2021
muertes_covid_provincias_mensual_2021.csv,Chimborazo,524004,693,168,7,2021
muertes_covid_provincias_mensual_2021.csv,Cotopaxi,488716,673,93,7,2021
muertes_covid_provincias_mensual_2021.csv,El Oro,715751,1326,235,7,2021
muertes_covid_provincias_mensual_2021.csv,Esmeraldas,591083,467,78,7,2021
muertes_covid_provincias_mensual_2021.csv,Galápagos,33042,11,1,7,2021
muertes_covid_provincias_mensual_2021.csv,Guayas,4387434,3904,1181,7,2021
muertes_covid_provincias_mensual_2021.csv,Imbabura,476257,638,219,7,2021
muertes_covid_provincias_mensual_2021.csv,Loja,521154,684,120,7,2021
muertes_covid_provincias_mensual_2021.csv,Los Ríos,921763,696,203,7,2021
muertes_covid_provincias_mensual_2021.csv,Manabí,1562079,2817,288,7,2021
muertes_covid_provincias_mensual_2021.csv,Morona Santiago,196535,118,59,7,2021
muertes_covid_provincias_mensual_2021.csv,Napo,133705,113,5,7,2021
muertes_covid_provincias_mensual_2021.csv,Orellana,161338,110,14,7,2021
muertes_covid_provincias_mensual_2021.csv,Pastaza,114202,115,28,7,2021
muertes_covid_provincias_mensual_2021.csv,Pichincha,3228233,4901,1733,7,2021
muertes_covid_provincias_mensual_2021.csv,Santa Elena,401178,376,-52,7,2021
muertes_covid_provincias_mensual_2021.csv,Sto. Domingo Tsáchilas,511151,783,88,7,2021
muertes_covid_provincias_mensual_2021.csv,Sucumbíos,230503,221,48,7,2021
muertes_covid_provincias_mensual_2021.csv,Tungurahua,590600,877,260,7,2021
muertes_covid_provincias_mensual_2021.csv,Zamora Chinchipe,120416,126,26,7,2021
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,2,2,3,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,0,0,3,2020
