provincia,poblacion,total,nuevas,lat,lng,semana,anio
Imbabura,476257,29098,66,"0,362678","-78,130667",11,2022
Loja,521154,33188,106,"-3,983333","-79,2",11,2022
Los Ríos,921763,17222,15,"-1,8","-79,533333",11,2022
Manabí,1562079,54739,95,"-1,056181","-80,455217",11,2022
Morona Santiago,196535,10431,13,"-2,3","-78,116667",11,2022
Napo,133705,6730,8,"-0,989","-77,8159",11,2022
Orellana,161338,5791,3,"-0,466667","-76,966667",11,2022
Pastaza,114202,5257,6,"-1,066667","-78,001111",11,2022
Pichincha,3228233,314261,2596,"-0,218611","-78,509722",11,2022
Santa Elena,401178,6498,5,"-2,2267","-80,8583",11,2022
Sto. Domingo Tsáchilas,511151,16709,27,"-0,254167","-79,171944",11,2022
Sucumbíos,230503,8737,5,"0,084722","-76,882778",11,2022
Tungurahua,590600,26574,100,"-1,241667","-78,619722",11,2022
Zamora Chinchipe,120416,5161,17,"-4,12","-78,8",11,2022
Azuay,881394,41634,484,"-2,897414","-79,004481",12,2022
Bolívar,209933,11599,40,"-1,605556","-79,003056",12,2022
Carchi,186869,13104,41,"0,81218","-77,71633",12,2022
Cañar,281396,14334,59,"-2,733333","-78,833333",12,2022
Chimborazo,524004,15864,55,"-1,674347","-78,648294",12,2022
Cotopaxi,488716,17894,56,"-0,933333","-78,616667",12,2022
El Oro,715751,49122,58,"-3,266667","-79,966667",12,2022
Esmeraldas,591083,13980,14,"1,05","-79,2",12,2022
Galápagos,33042,3066,9,"-0,8","-89,4",12,2022
Guayas,4387434,134047,209,"-2,183333","-79,883333",12,2022
Imbabura,476257,29206,108,"0,362678","-78,130667",12,2022
Loja,521154,33261,73,"-3,983333","-79,2",12,2022
Los Ríos,921763,17236,14,"-1,8","-79,533333",12,2022
Manabí,1562079,54861,122,"-1,056181","-80,455217",12,2022
Morona Santiago,196535,10447,16,"-2,3","-78,116667",12,2022
Napo,133705,6755,25,"-0,989","-77,8159",12,2022
Orellana,161338,5796,5,"-0,466667","-76,966667",12,2022
Pastaza,114202,5291,34,"-1,066667","-78,001111",12,2022
Pichincha,3228233,317590,3329,"-0,218611","-78,509722",12,2022
Santa Elena,401178,6502,4,"-2,2267","-80,8583",12,2022
Sto. Domingo Tsáchilas,511151,16719,10,"-0,254167","-79,171944",12,2022
Sucumbíos,230503,8755,18,"0,084722","-76,882778",12,2022
Tungurahua,590600,26685,111,"-1,241667","-78,619722",12,2022
Zamora Chinchipe,120416,5172,11,"-4,12","-78,8",12,2022
Azuay,881394,41983,349,"-2,897414","-79,004481",13,2022
Bolívar,209933,11639,40,"-1,605556","-79,003056",13,2022
Carchi,186869,13150,46,"0,81218","-77,71633",13,2022
Cañar,281396,14387,53,"-2,733333","-78,833333",13,2022
Chimborazo,524004,15891,27,"-1,674347","-78,648294",13,2022
Cotopaxi,488716,17923,29,"-0,933333","-78,616667",13,2022
El Oro,715751,49153,31,"-3,266667","-79,966667",13,2022
Esmeraldas,591083,13990,10,"1,05","-79,2",13,2022
Galápagos,33042,3077,11,"-0,8","-89,4",13,2022
Guayas,4387434,134397,350,"-2,183333","-79,883333",13,2022
