zona,region,provincia,poblacion,semana,mes,anio,primera_dosis,dosis_refuerzo,dosis_total,dosis_unica,segunda_dosis
1,costa,Esmeraldas,591083,29,7,2021,1283206,0,1575190,0,291984
1,sierra,Carchi,186869,28,7,2021,415433,0,562009,0,146576
2,amazonia,Pastaza,114202,6,2,2021,920,0,920,0,0
4,costa,Manabí,1562079,52,12,2021,9000013,397263,17561233,348003,7815954
2,amazonia,Napo,133705,27,7,2021,99039,0,132159,0,33120
6,sierra,Azuay,881394,4,1,2022,5035640,1045484,10969239,128589,4759526
3,sierra,Bolívar,209933,23,5,2021,67343,0,89298,0,21955
6,sierra,Cañar,281396,27,6,2021,183307,0,270996,0,87689
8,costa,Guayas,4387434,11,3,2021,256406,0,275306,0,18900
9,sierra,Pichincha,3228233,4,1,2021,4990,0,4990,0,0
7,amazonia,Zamora Chinchipe,120416,24,6,2021,118233,0,162298,0,44065
4,costa,Manabí,1562079,28,7,2021,2510289,0,3429049,0,918760
6,sierra,Cañar,281396,29,7,2021,570947,0,777902,0,206955
4,costa,Sto. Domingo Tsáchilas,511151,16,4,2021,108187,0,123432,0,15245
6,amazonia,Morona Santiago,196535,5,1,2022,709567,105111,1470795,75904,580213
5,costa,Los Ríos,921763,35,8,2021,3241170,0,5706208,32846,2432192
4,costa,Sto. Domingo Tsáchilas,511151,27,6,2021,261266,0,380685,0,119419
3,sierra,Chimborazo,524004,19,5,2021,418094,0,496642,0,78548
7,costa,El Oro,715751,49,11,2021,1755980,54567,3344085,38937,1494601
9,sierra,Pichincha,3228233,2,1,2022,19433814,2671541,41151525,406164,18640006
5,costa,Los Ríos,921763,48,11,2021,4214479,38167,7630487,171638,3206203
3,sierra,Tungurahua,590600,17,4,2021,174156,0,205817,0,31661
3,sierra,Tungurahua,590600,18,4,2021,195922,0,229334,0,33412
3,sierra,Tungurahua,590600,18,5,2021,39736,0,46251,0,6515
7,costa,El Oro,715751,22,5,2021,600586,0,776693,0,176107
1,sierra,Carchi,186869,7,2,2021,686,0,686,0,0
2,amazonia,Sucumbíos,230503,25,6,2021,211666,0,287686,0,76020
2,amazonia,Napo,133705,20,5,2021,134266,0,158162,0,23896
7,amazonia,Zamora Chinchipe,120416,18,4,2021,56559,0,65522,0,8963
1,sierra,Carchi,186869,3,1,2022,1226712,155806,2494302,54833,1056951
5,costa,Santa Elena,401178,38,9,2021,1528144,0,2865253,39464,1297645
1,costa,Esmeraldas,591083,36,9,2021,1276046,0,2344222,43930,1024246
2,amazonia,Pastaza,114202,46,11,2021,448832,5771,833709,32943,346163
2,amazonia,Orellana,161338,49,11,2021,367569,4948,664244,12731,278996
6,amazonia,Morona Santiago,196535,1,1,2022,109257,9398,220128,10672,90801
2,amazonia,Sucumbíos,230503,3,1,2022,1182421,96689,2336217,61552,995555
3,sierra,Tungurahua,590600,49,11,2021,1389633,44440,2637923,79937,1123913
7,sierra,Loja,521154,45,10,2021,404525,3982,742363,3601,330255
5,insular,Galápagos,33042,10,2,2021,652,0,865,0,213
4,costa,Manabí,1562079,7,2,2021,6925,0,6925,0,0
6,sierra,Cañar,281396,6,2,2021,786,0,786,0,0
9,sierra,Pichincha,3228233,27,6,2021,2951501,0,4287444,0,1335943
2,amazonia,Sucumbíos,230503,4,1,2022,1196348,124319,2396743,62961,1013115
2,amazonia,Pastaza,114202,45,11,2021,382012,3566,707915,27556,294781
4,costa,Manabí,1562079,10,2,2021,6760,0,7250,0,490
4,costa,Manabí,1562079,15,4,2021,257804,0,302934,0,45130
8,costa,Guayas,4387434,1,1,2022,3298003,203416,6438651,94033,2843199
5,costa,Santa Elena,401178,48,11,2021,1909635,39395,3412175,50049,1413096
5,insular,Galápagos,33042,24,6,2021,200827,0,341339,0,140512
7,sierra,Loja,521154,22,5,2021,685898,0,911743,0,225845
7,sierra,Loja,521154,36,9,2021,1418607,0,2588061,4282,1165172
5,costa,Santa Elena,401178,6,2,2021,654,0,654,0,0
8,costa,Guayas,4387434,8,2,2021,37574,0,42441,0,4867
6,sierra,Azuay,881394,41,10,2021,4049389,0,7729520,87943,3592188
2,amazonia,Pastaza,114202,27,7,2021,53671,0,78079,0,24408
6,sierra,Cañar,281396,43,10,2021,1080412,474,1993455,51541,861028
3,sierra,Cotopaxi,488716,8,2,2021,1680,0,1680,0,0
1,sierra,Imbabura,476257,18,5,2021,48919,0,56474,0,7555
7,costa,El Oro,715751,17,4,2021,313723,0,379281,0,65558
7,costa,El Oro,715751,46,11,2021,3950114,37150,7224376,88026,3149086
1,sierra,Imbabura,476257,38,9,2021,2153354,0,4170285,60012,1956919
2,amazonia,Sucumbíos,230503,7,2,2021,756,0,756,0,0
7,sierra,Loja,521154,26,6,2021,918059,0,1360476,0,442417
6,sierra,Azuay,881394,40,10,2021,1149078,0,2198306,24355,1024873
8,costa,Guayas,4387434,20,5,2021,2212001,0,2654046,0,442045
1,sierra,Carchi,186869,53,12,2021,1044431,87579,2069806,44012,893784
4,costa,Manabí,1562079,22,5,2021,1195869,0,1548688,0,352819
1,costa,Esmeraldas,591083,33,8,2021,2260241,0,3097617,324,837052
