zona,region,provincia,poblacion,mes,anio,dosis_total,dosis_refuerzo,primera_dosis,dosis_unica,segunda_dosis
2,amazonia,Orellana,161338,8,2021,4169101,0,2961950,7721,1199430
3,sierra,Bolívar,209933,1,2022,9847171,681989,4871985,195691,4097506
6,amazonia,Morona Santiago,196535,9,2021,4314068,0,2282619,144515,1886934
3,sierra,Bolívar,209933,5,2021,1036751,0,846311,0,190440
4,costa,Sto. Domingo Tsáchilas,511151,6,2021,2380309,0,1705779,0,674530
3,sierra,Bolívar,209933,7,2021,3703903,0,2719747,0,984156
5,costa,Santa Elena,401178,1,2021,436,0,436,0,0
1,costa,Esmeraldas,591083,3,2021,173662,0,150708,0,22954
5,costa,Santa Elena,401178,11,2021,14115336,81700,7864999,211283,5957354
3,sierra,Chimborazo,524004,11,2021,20032351,306117,10992604,354990,8378640
6,sierra,Azuay,881394,2,2021,61504,0,52699,0,8805
9,sierra,Pichincha,3228233,4,2021,5844641,0,4632849,0,1211792
2,amazonia,Orellana,161338,12,2021,7268565,123642,3896038,151394,3097491
1,sierra,Imbabura,476257,5,2021,2307818,0,1846182,0,461636
5,insular,Galápagos,33042,9,2021,1656874,0,888583,128,768163
4,costa,Sto. Domingo Tsáchilas,511151,12,2021,21442889,385707,11147985,881496,9027701
4,costa,Manabí,1562079,9,2021,56769964,0,29523207,978037,26268720
1,sierra,Carchi,186869,7,2021,3683513,0,2940766,0,742747
3,sierra,Tungurahua,590600,6,2021,4010532,0,2858703,0,1151829
2,amazonia,Napo,133705,1,2022,6111968,245046,3094162,104643,2668117
3,sierra,Tungurahua,590600,2,2021,14870,0,14130,0,740
1,sierra,Imbabura,476257,1,2021,1936,0,1936,0,0
3,sierra,Chimborazo,524004,7,2021,7840822,0,5932505,0,1908317
7,costa,El Oro,715751,7,2021,11884917,0,9337733,0,2547184
2,amazonia,Sucumbíos,230503,4,2021,366162,0,295164,0,70998
1,costa,Esmeraldas,591083,9,2021,18105136,0,9646244,453714,8005178
2,amazonia,Sucumbíos,230503,6,2021,1245920,0,933395,0,312525
7,sierra,Loja,521154,2,2021,17902,0,16879,0,1023
5,costa,Los Ríos,921763,5,2021,2278212,0,1861488,0,416724
1,costa,Esmeraldas,591083,6,2021,2968950,0,2260789,0,708161
8,costa,Guayas,4387434,5,2021,13051447,0,10324141,0,2727306
4,costa,Sto. Domingo Tsáchilas,511151,11,2021,18264895,117800,9894354,798100,7454641
7,amazonia,Zamora Chinchipe,120416,10,2021,4057116,1113,2254084,55186,1746733
4,costa,Sto. Domingo Tsáchilas,511151,1,2021,1440,0,1440,0,0
6,sierra,Cañar,281396,2,2021,9284,0,8162,0,1122
9,sierra,Pichincha,3228233,6,2021,26568890,0,18407650,0,8161240
