provincia,poblacion,total,nuevas,semana,anio
Pastaza,114202,87,1,25,2021
Pichincha,3228233,3166,29,25,2021
Santa Elena,401178,428,7,25,2021
Sto. Domingo Tsáchilas,511151,693,3,25,2021
Sucumbíos,230503,173,0,25,2021
Tungurahua,590600,617,45,25,2021
Zamora Chinchipe,120416,100,0,25,2021
Azuay,881394,519,5,26,2021
Bolívar,209933,111,0,26,2021
Carchi,186869,284,1,26,2021
Cañar,281396,137,0,26,2021
Chimborazo,524004,527,3,26,2021
Cotopaxi,488716,580,0,26,2021
El Oro,715751,1097,6,26,2021
Esmeraldas,591083,390,2,26,2021
Galápagos,33042,10,0,26,2021
Guayas,4387434,2732,12,26,2021
Imbabura,476257,424,9,26,2021
Loja,521154,566,6,26,2021
Los Ríos,921763,493,2,26,2021
Manabí,1562079,2546,22,26,2021
Morona Santiago,196535,59,0,26,2021
Napo,133705,109,2,26,2021
Orellana,161338,96,0,26,2021
Pastaza,114202,87,0,26,2021
Pichincha,3228233,3197,31,26,2021
Santa Elena,401178,428,0,26,2021
Sto. Domingo Tsáchilas,511151,696,3,26,2021
Sucumbíos,230503,173,0,26,2021
Tungurahua,590600,619,2,26,2021
Zamora Chinchipe,120416,100,0,26,2021
Azuay,881394,519,0,27,2021
Bolívar,209933,112,1,27,2021
Carchi,186869,287,3,27,2021
Cañar,281396,137,0,27,2021
Chimborazo,524004,548,21,27,2021
Cotopaxi,488716,580,0,27,2021
El Oro,715751,1117,20,27,2021
Esmeraldas,591083,393,3,27,2021
Galápagos,33042,10,0,27,2021
Guayas,4387434,2774,42,27,2021
Imbabura,476257,428,4,27,2021
Loja,521154,568,2,27,2021
Los Ríos,921763,500,7,27,2021
Manabí,1562079,2567,21,27,2021
Morona Santiago,196535,60,1,27,2021
Napo,133705,110,1,27,2021
Orellana,161338,96,0,27,2021
Pastaza,114202,87,0,27,2021
Pichincha,3228233,3209,12,27,2021
Santa Elena,401178,430,2,27,2021
Sto. Domingo Tsáchilas,511151,703,7,27,2021
Sucumbíos,230503,173,0,27,2021
Tungurahua,590600,619,0,27,2021
Zamora Chinchipe,120416,100,0,27,2021
Azuay,881394,526,7,28,2021
Bolívar,209933,112,0,28,2021
Carchi,186869,291,4,28,2021
Cañar,281396,138,1,28,2021
Chimborazo,524004,553,5,28,2021
Cotopaxi,488716,586,6,28,2021
El Oro,715751,1126,9,28,2021
Esmeraldas,591083,397,4,28,2021
Galápagos,33042,10,0,28,2021
Guayas,4387434,2798,24,28,2021
Imbabura,476257,432,4,28,2021
Loja,521154,569,1,28,2021
Los Ríos,921763,502,2,28,2021
Manabí,1562079,2576,9,28,2021
Morona Santiago,196535,61,1,28,2021
Napo,133705,111,1,28,2021
Orellana,161338,97,1,28,2021
Pastaza,114202,89,2,28,2021
Pichincha,3228233,3215,6,28,2021
Santa Elena,401178,431,1,28,2021
Sto. Domingo Tsáchilas,511151,704,1,28,2021
Sucumbíos,230503,175,2,28,2021
Tungurahua,590600,632,13,28,2021
Zamora Chinchipe,120416,100,0,28,2021
Azuay,881394,1096,570,29,2021
Bolívar,209933,152,40,29,2021
Carchi,186869,293,2,29,2021
Cañar,281396,256,118,29,2021
Chimborazo,524004,693,140,29,2021
Cotopaxi,488716,673,87,29,2021
El Oro,715751,1326,200,29,2021
Esmeraldas,591083,467,70,29,2021
Galápagos,33042,11,1,29,2021
Guayas,4387434,3904,1106,29,2021
Imbabura,476257,638,206,29,2021
Loja,521154,684,115,29,2021
Los Ríos,921763,696,194,29,2021
Manabí,1562079,2817,241,29,2021
Morona Santiago,196535,118,57,29,2021
Napo,133705,113,2,29,2021
Orellana,161338,110,13,29,2021
Pastaza,114202,115,26,29,2021
Pichincha,3228233,4901,1686,29,2021
Santa Elena,401178,376,-55,29,2021
Sto. Domingo Tsáchilas,511151,783,79,29,2021
Sucumbíos,230503,221,46,29,2021
Tungurahua,590600,877,245,29,2021
Zamora Chinchipe,120416,126,26,29,2021
Azuay,881394,1,1,13,2020
Bolívar,209933,0,0,13,2020
Carchi,186869,0,0,13,2020
Cañar,281396,1,1,13,2020
Chimborazo,524004,0,0,13,2020
Cotopaxi,488716,1,1,13,2020
El Oro,715751,4,4,13,2020
Esmeraldas,591083,0,0,13,2020
Galápagos,33042,0,0,13,2020
Guayas,4387434,37,37,13,2020
Imbabura,476257,1,1,13,2020
Loja,521154,0,0,13,2020
Los Ríos,921763,5,5,13,2020
Manabí,1562079,1,1,13,2020
Morona Santiago,196535,0,0,13,2020
Napo,133705,0,0,13,2020
Orellana,161338,0,0,13,2020
Pastaza,114202,0,0,13,2020
Pichincha,3228233,4,4,13,2020
Santa Elena,401178,2,2,13,2020
Sto. Domingo Tsáchilas,511151,0,0,13,2020
Sucumbíos,230503,1,1,13,2020
Tungurahua,590600,0,0,13,2020
Zamora Chinchipe,120416,0,0,13,2020
Azuay,881394,5,4,14,2020
Bolívar,209933,1,1,14,2020
Carchi,186869,0,0,14,2020
Cañar,281396,2,1,14,2020
Chimborazo,524004,2,2,14,2020
Cotopaxi,488716,1,0,14,2020
El Oro,715751,13,9,14,2020
Esmeraldas,591083,0,0,14,2020
Galápagos,33042,1,1,14,2020
Guayas,4387434,126,89,14,2020
Imbabura,476257,1,0,14,2020
Loja,521154,0,0,14,2020
Los Ríos,921763,10,5,14,2020
Manabí,1562079,2,1,14,2020
Morona Santiago,196535,0,0,14,2020
Napo,133705,0,0,14,2020
Orellana,161338,0,0,14,2020
Pastaza,114202,0,0,14,2020
Pichincha,3228233,6,2,14,2020
Santa Elena,401178,4,2,14,2020
Sto. Domingo Tsáchilas,511151,2,2,14,2020
Sucumbíos,230503,1,0,14,2020
Tungurahua,590600,3,3,14,2020
Zamora Chinchipe,120416,0,0,14,2020
Azuay,881394,7,2,15,2020
Bolívar,209933,2,1,15,2020
Carchi,186869,2,2,15,2020
Cañar,281396,4,2,15,2020
Chimborazo,524004,15,13,15,2020
Cotopaxi,488716,7,6,15,2020
El Oro,715751,27,14,15,2020
Esmeraldas,591083,7,7,15,2020
Galápagos,33042,1,0,15,2020
Guayas,4387434,168,42,15,2020
Imbabura,476257,3,2,15,2020
Loja,521154,2,2,15,2020
Los Ríos,921763,13,3,15,2020
Manabí,1562079,29,27,15,2020
Morona Santiago,196535,0,0,15,2020
Napo,133705,0,0,15,2020
Orellana,161338,0,0,15,2020
Pastaza,114202,0,0,15,2020
Pichincha,3228233,26,20,15,2020
Santa Elena,401178,5,1,15,2020
Sto. Domingo Tsáchilas,511151,8,6,15,2020
Sucumbíos,230503,1,0,15,2020
Tungurahua,590600,5,2,15,2020
Zamora Chinchipe,120416,1,1,15,2020
Azuay,881394,11,4,16,2020
Bolívar,209933,6,4,16,2020
Carchi,186869,3,1,16,2020
Cañar,281396,8,4,16,2020
Chimborazo,524004,24,9,16,2020
Cotopaxi,488716,11,4,16,2020
El Oro,715751,51,24,16,2020
Esmeraldas,591083,7,0,16,2020
Galápagos,33042,1,0,16,2020
Guayas,4387434,208,40,16,2020
